<DATE>;<BALANCE>
2019-04-26;0.00545
2019-04-27;0.00521
2019-04-28;0.00442
2019-04-29;0.00347
2019-04-30;0.00442
2019-05-01;0.00432
2019-05-02;0.00419
2019-05-03;0.00423
2019-05-04;0.00397
2019-05-05;0.00372
2019-05-06;0.00373
2019-05-07;0.00336
2019-05-08;0.00333
2019-05-09;0.00314
2019-05-10;0.00378
2019-05-11;0.0046
2019-05-12;0.0053
2019-05-13;0.00868
2019-05-14;0.0078
2019-05-15;0.00956
2019-05-16;0.01087
2019-05-17;0.01455
2019-05-18;0.01235
2019-05-19;0.02018
2019-05-20;0.0295
2019-05-21;0.02953
2019-05-22;0.02209
2019-05-23;0.02739
2019-05-24;0.02529
2019-05-25;0.02475
2019-05-26;0.02419
2019-05-27;0.02235
2019-05-28;0.0238
2019-05-29;0.02212
2019-05-30;0.01972
2019-05-31;0.02216
2019-06-01;0.02104
2019-06-02;0.02012
2019-06-03;0.01911
2019-06-04;0.02139
2019-06-05;0.02285
2019-06-06;0.02361
2019-06-07;0.02426
2019-06-08;0.02583
2019-06-09;0.02537
2019-06-10;0.02698
2019-06-11;0.0239
2019-06-12;0.02305
2019-06-13;0.0231
2019-06-14;0.02055
2019-06-15;0.02179
2019-06-16;0.0224
2019-06-17;0.02175
2019-06-18;0.02247
2019-06-19;0.02309
2019-06-20;0.02241
2019-06-21;0.021
2019-06-22;0.02194
2019-06-23;0.02104
2019-06-24;0.02072
2019-06-25;0.0192
2019-06-26;0.01795
2019-06-27;0.01942
2019-06-28;0.0192
2019-06-29;0.02412
2019-06-30;0.02217
2019-07-01;0.02238
2019-07-02;0.02002
2019-07-03;0.0193
2019-07-04;0.01797
2019-07-05;0.01811
2019-07-06;0.01768
2019-07-07;0.01759
2019-07-08;0.01664
2019-07-09;0.01622
2019-07-10;0.0161
2019-07-11;0.01442
2019-07-12;0.0157
2019-07-13;0.01662
2019-07-14;0.01431
2019-07-15;0.01386
2019-07-16;0.01206
2019-07-17;0.01316
2019-07-18;0.01362
2019-07-19;0.01337
2019-07-20;0.0139
2019-07-21;0.01345
2019-07-22;0.01272
2019-07-23;0.01154
2019-07-24;0.01193
2019-07-25;0.01218
2019-07-26;0.01277
2019-07-27;0.01198
2019-07-28;0.01179
2019-07-29;0.01133
2019-07-30;0.01157
2019-07-31;0.01131
2019-08-01;0.01062
2019-08-02;0.01109
2019-08-03;0.01062
2019-08-04;0.01022
2019-08-05;0.01169
2019-08-06;0.01531
2019-08-07;0.01666
2019-08-08;0.01453
2019-08-09;0.01218
2019-08-10;0.01497
2019-08-11;0.01603
2019-08-12;0.01691
2019-08-13;0.01682
2019-08-14;0.01475
2019-08-15;0.01455
2019-08-16;0.0133
2019-08-17;0.01417
2019-08-18;0.0139
2019-08-19;0.01542
2019-08-20;0.01578
2019-08-21;0.01547
2019-08-22;0.01672
2019-08-23;0.01534
2019-08-24;0.01483
2019-08-25;0.01373
2019-08-26;0.01392
2019-08-27;0.01416
2019-08-28;0.01291
2019-08-29;0.01168
2019-08-30;0.01232
2019-08-31;0.01177
2019-09-01;0.01217
2019-09-02;0.01378
2019-09-03;0.01433
2019-09-04;0.0141
2019-09-05;0.01487
2019-09-06;0.01358
2019-09-07;0.01379
2019-09-08;0.01387
2019-09-09;0.0141
2019-09-10;0.0135
2019-09-11;0.0131
2019-09-12;0.01296
2019-09-13;0.01293
2019-09-14;0.01305
2019-09-15;0.01283
2019-09-16;0.0129
2019-09-17;0.01348
2019-09-18;0.01432
2019-09-19;0.01366
2019-09-20;0.01363
2019-09-21;0.01331
2019-09-22;0.01252
2019-09-23;0.01224
2019-09-24;0.01088
2019-09-25;0.01098
2019-09-26;0.01059
2019-09-27;0.01082
2019-09-28;0.01121
2019-09-29;0.01087
2019-09-30;0.0109
2019-10-01;0.01069
2019-10-02;0.01081
2019-10-03;0.01054
2019-10-04;0.01055
2019-10-05;0.01048
2019-10-06;0.01016
2019-10-07;0.01091
2019-10-08;0.01244
2019-10-09;0.01444
2019-10-10;0.0161
2019-10-11;0.0158
2019-10-12;0.01555
2019-10-13;0.01494
2019-10-14;0.01522
2019-10-15;0.01437
2019-10-16;0.01386
2019-10-17;0.01425
2019-10-18;0.01334
2019-10-19;0.01376
2019-10-20;0.01376
2019-10-21;0.01491
2019-10-22;0.01443
2019-10-23;0.01326
2019-10-24;0.01338
2019-10-25;0.01435
2019-10-26;0.01348
2019-10-27;0.01402
2019-10-28;0.01398
2019-10-29;0.01409
2019-10-30;0.0134
2019-10-31;0.0136
2019-11-01;0.01377
2019-11-02;0.01353
2019-11-03;0.01354
2019-11-04;0.01432
2019-11-05;0.0147
2019-11-06;0.01447
2019-11-07;0.01512
2019-11-08;0.01432
2019-11-09;0.01491
2019-11-10;0.01571
2019-11-11;0.01541
2019-11-12;0.01487
2019-11-13;0.01493
2019-11-14;0.01443
2019-11-15;0.01381
2019-11-16;0.01445
2019-11-17;0.01432
2019-11-18;0.01404
2019-11-19;0.01484
2019-11-20;0.01434
2019-11-21;0.01425
2019-11-22;0.01403
2019-11-23;0.01662
2019-11-24;0.01515
2019-11-25;0.02094
2019-11-26;0.02171
2019-11-27;0.02459
2019-11-28;0.02267
2019-11-29;0.02451
2019-11-30;0.0289
2019-12-01;0.02661
2019-12-02;0.02637
2019-12-03;0.02915
2019-12-04;0.0318
2019-12-05;0.03316
2019-12-06;0.04136
2019-12-07;0.03889
2019-12-08;0.0415
2019-12-09;0.03425
2019-12-10;0.01725
2019-12-11;0.01794
2019-12-12;0.01572
2019-12-13;0.01603
2019-12-14;0.01359
2019-12-15;0.01422
2019-12-16;0.0132
2019-12-17;0.01208
2019-12-18;0.0127
2019-12-19;0.01314
2019-12-20;0.01557
2019-12-21;0.01798
2019-12-22;0.01614
2019-12-23;0.01508
2019-12-24;0.01613
2019-12-25;0.01564
2019-12-26;0.01566
2019-12-27;0.01518
2019-12-28;0.01494
2019-12-29;0.01474
2019-12-30;0.01427
2019-12-31;0.01379
2020-01-01;0.01496
2020-01-02;0.01467
2020-01-03;0.01512
2020-01-04;0.01484
2020-01-05;0.01483
2020-01-06;0.01554
2020-01-07;0.01509
2020-01-08;0.01499
2020-01-09;0.01459
2020-01-10;0.01486
2020-01-11;0.01479
2020-01-12;0.01496
2020-01-13;0.01548
2020-01-14;0.01564
2020-01-15;0.01639
2020-01-16;0.01614
2020-01-17;0.0187
2020-01-18;0.01748
2020-01-19;0.01643
2020-01-20;0.01685
2020-01-21;0.01713
2020-01-22;0.01708
2020-01-23;0.01605
2020-01-24;0.01622
2020-01-25;0.01602
2020-01-26;0.01645
2020-01-27;0.0169
2020-01-28;0.01714
2020-01-29;0.01704
2020-01-30;0.01859
2020-01-31;0.01795
2020-02-01;0.01829
2020-02-02;0.01903
2020-02-03;0.02199
2020-02-04;0.02098
2020-02-05;0.02155
2020-02-06;0.02449
2020-02-07;0.023
2020-02-08;0.02123
2020-02-09;0.02197
2020-02-10;0.02159
2020-02-11;0.0229
2020-02-12;0.0228
2020-02-13;0.02233
2020-02-14;0.02326
2020-02-15;0.0209
2020-02-16;0.02011
2020-02-17;0.02009
2020-02-18;0.02151
2020-02-19;0.01996
2020-02-20;0.02071
2020-02-21;0.02074
2020-02-22;0.02076
2020-02-23;0.02229
2020-02-24;0.02078
2020-02-25;0.01907
2020-02-26;0.01841
2020-02-27;0.01962
2020-02-28;0.0202
2020-02-29;0.02015
2020-03-01;0.01935
2020-03-02;0.02144
2020-03-03;0.02344
2020-03-04;0.02511
